gene,expression
100754456,0.0
100760238,1.1249535000000002
100760532,7.817045
100761405,0.006564175
100761113,7.135415
100760824,152.5835
100754742,0.21932379999999999
100755035,0.0
100762470,0.063563775
103163223,0.049177874999999996
100761982,9.8802025
100764500,0.0
100764797,0.0
100755321,3.854085
100764203,36.816275000000005
100762756,29.105425000000004
100765375,1.1664824999999999
100761693,119.22625
100765086,27.9384
100767046,0.0
100766461,5.8042549999999995
100766751,0.0
100768090,0.0
100755907,0.0
100767799,0.0
100768376,0.019292
100768666,0.0769036
100769807,0.0
100768959,0.02566125
103160850,0.06254425
100769236,0.078719
100756193,0.0
100770100,0.022541075
100756485,0.0
100769523,0.024367775
100770388,0.0
103160728,0.147109475
100756782,0.051666
100750439,10.3962675
103161316,0.9506225
100750724,34.45175
100765873,147.19774999999998
100766168,6.9779
103163576,0.0
100759087,0.0
100758799,0.133812
100758510,2.90274
103161772,0.0
100751501,14.495024999999998
100767327,66.2788
100752074,4.06489
100752668,0.0
100752969,0.61303825
100751021,46.46815
100753568,0.38984150000000006
103163068,0.08300022500000001
100754170,0.0
100753267,38.954449999999994
103163463,0.0
100753870,13.7492
100752366,105.7128
103160754,31.142075
100752970,13.013399999999999
100752669,0.040016750000000004
100770668,53.66295
100753871,0.0
100754171,13.50825
100770953,4.608655000000001
100753569,199.99375
100754457,1.1828349999999999
100754743,0.0
100771822,0.0
100772103,0.0
100771531,0.7850597500000001
100755036,0.0
100772392,3.2606124999999997
100771239,47.9937
100772686,33.413999999999994
103163900,5.824527499999999
100755322,44.287025
100755908,0.17629150000000002
100773180,4.3128
100773462,0.270778
100773751,9.327974999999999
100756194,0.0
100756486,1.5769502499999999
100756783,7.5973625
100757070,44.10855
103163931,0.0
100757648,35.18415
100755615,27.8076
103160753,0.287195
100757933,11.8957
102466556,0.0
100774047,14.2183
100774627,0.0
100758800,0.0
100758511,8.82019
100774918,0.019430025
100759088,10.3789
100758227,87.4956
102464883,0.0
102464896,0.0
100759657,0.01299575
100759946,0.17912482500000002
100750619,44.025400000000005
103162392,2.1296725
103164017,0.0
100760533,0.0
100751208,0.05198245
100760239,7.0549
100751789,0.0
100751502,0.02306835
100761114,0.0
100774338,47.214999999999996
100760825,13.106975
100761406,9.010945
100752367,0.0
100762569,0.0
100761983,0.0
100763147,0.0083189
100751975,0.0
100751689,0.0
100762856,4.1815775
100762271,1.0239065
100763721,0.0
100752075,7.26634
100763439,0.0
103159906,0.0
100764008,0.07364925
100752262,17.802675
100761694,38.02844999999999
103161117,0.8108992500000001
103161118,0.136612425
100752559,13.958499999999999
