gene,expression
100754456,0.0
100760238,1.1588805
100760532,7.73925
100761405,0.01100435
100761113,7.286544999999999
100760824,186.02425
100754742,0.5651995
100755035,0.0
100762470,0.037482225
103163223,0.08762575
100761982,10.467612500000001
100761693,88.06159999999998
100764500,0.0
100764797,0.0
100755321,4.13059
100764203,42.925625000000004
100762756,23.185250000000003
100765375,1.15768625
100765086,30.012575000000002
100767046,0.0
100766751,0.165051
100766461,5.4283125
100755907,0.0
100768090,0.0
100767799,0.0
100768666,0.01783975
100768959,0.03468475
100769236,0.062768225
100768376,0.0
100769807,0.0
100756193,0.0
100769523,0.020452275
100770388,0.0
100756485,0.0
100770100,0.01911855
100765873,148.72825
100766168,7.3776875
100756782,0.037558
103160728,0.087031
103160850,0.0
100750439,11.1575375
100767327,70.3201
103161316,0.9637899999999999
100750724,34.8506
103161772,0.0
100758510,3.1477025
100759087,0.0
100758799,0.022941525
103163576,0.0
100751501,14.617475
100752074,3.8482125
100751021,50.235375000000005
100752668,0.0
100752969,0.46563725
103163068,0.149252325
100753568,0.34069325000000006
100754170,0.0413606
100753267,42.838049999999996
103163463,0.04818375
100753870,13.649875
100752366,149.22225
100752970,13.839575
103160754,35.52425
100752669,0.057486375000000006
100770668,58.515299999999996
100753871,0.0
100754171,13.591050000000001
100753569,188.60999999999999
100770953,4.4351400000000005
100754457,0.91881675
100754743,0.0
100771531,1.07185125
100771822,0.0
100772103,0.0
100755036,0.0
100772392,2.791945
100771239,44.611650000000004
100772686,33.007525
103163900,5.153230000000001
100755322,52.147974999999995
100755908,0.17102740000000002
100773180,4.5793875
100773462,0.24933125
100756194,0.0
100773751,9.2178775
100756486,2.0000075
100756783,9.447665
100755615,25.962925000000002
103160753,0.319036225
100757070,47.5408
103163931,0.09515385000000001
100757648,37.708800000000004
100757933,11.80645
102466556,0.0
100774047,14.9207
100758227,103.131825
102464883,0.0
102464896,0.0
100774627,0.0
100758800,0.0
100758511,11.231477499999999
100774918,0.04186945
100759088,10.628592500000002
100759657,0.0102885
100750619,49.91757500000001
100759946,0.1775426
103162392,2.3314175
