gene,expression
100757647,0.308553
100760238,1.0251752500000002
100760532,7.16508
100761405,0.011816799999999999
100761113,6.734415
100760824,154.35525
100754742,0.29585375
100755035,0.0
100762470,0.0593286
100764797,0.0
100764500,0.0
103163223,0.03126745
100761982,9.341895
100755321,3.8486825
100764203,36.689625
100765375,1.4500600000000001
100761693,115.50175
100762756,28.350825
100765086,27.945175000000003
100766751,0.09439575
100767046,0.0
100766461,5.621095
100755907,0.0207465
100767799,0.0
100768376,0.0
100768666,0.0356255
100768090,0.0
100768959,0.023824325
100769236,0.0142568
100756485,0.0
100770388,0.0
100756193,0.0
100769523,0.02201685
100769807,0.0
103160850,0.0
100770100,0.0
100756782,0.0
103160728,0.1529518
100750439,10.725817500000002
103161316,2.2871425000000003
100765873,143.80725
100766168,7.139465
100750724,35.653774999999996
100767327,66.0168
100758799,0.0797209
103163576,0.0
100758510,3.2162175
100759087,0.0
103161772,0.0
100751501,13.195375
100752074,4.0927225
100751021,44.8017
100752668,0.038072
100752969,0.47638899999999995
100753568,0.39733925000000003
103163068,0.06695645
100754170,0.046466074999999996
100753267,38.0611
103163463,0.0
100753870,13.469774999999998
100752970,12.310475
103160754,33.755175
100752366,94.4397
100752669,0.05122265
100770668,50.766675
100753871,0.0
100754171,12.630825000000002
100753569,198.44775
100770953,4.66873
100754457,0.9767177499999999
100772103,0.0
100771531,1.1410749999999998
100754743,0.0
100771822,0.007859375
100755036,0.0
100772392,3.320825
100772686,33.5998
100771239,47.069125
103163900,5.4998
100755322,42.67575000000001
100755908,0.14900325
100773180,4.4711475
100773462,0.1117975
100756194,0.0
100756486,1.4168975
100756783,7.011850000000001
100773751,9.7476325
100757070,42.15195000000001
103163931,0.08783625
100755615,27.374625
103160753,0.23347895
100757648,34.22485
100757933,11.370575
102466556,0.0
100774047,13.549475000000001
100758227,82.2127
102464883,0.0
102464896,0.0
100758800,0.0
100758511,7.092234999999999
100774627,0.013343375
100774918,0.03791752500000001
100759088,10.6104675
100759946,0.107278425
100759657,0.034957
100750619,40.772724999999994
103162392,2.264035
103164017,0.0
100760533,0.0
100760239,6.3135025
100751208,0.032418125
100774338,43.78775
100761114,0.0
100751502,0.0
100751789,0.06664325
100760825,12.991275
100761406,8.71525
100762569,0.0
100752367,0.0
100763147,0.0
100761983,0.0
100751689,0.0
100762271,1.00413
100763439,0.0
103159906,0.0
100752075,6.2396675
100751975,0.022633275
100763721,0.01347655
100762856,2.3166675
100764008,0.050784525000000004
100752262,15.4835
100761694,36.847075
103161117,0.76924925
103161118,0.10661200000000001
100752559,13.869200000000001
100764304,79.57492500000001
100752860,0.0
100764899,7.229715000000001
100753160,0.073181475
100765186,1.4841125000000002
100764603,43.641549999999995
100765766,0.0
100766058,0.0
100766540,0.0
100754632,0.0
100765476,32.684225
103164222,0.0
100767414,0.1699349
100753759,6.2138925
100767126,53.0918
100753457,24.764000000000003
100769043,0.041496675000000004
100768761,1.6284375
100754925,1.4286400000000001
100755217,1.214417
100768292,33.588425
100768002,11.715974999999998
102464950,0.0
103161344,1.5572552499999999
100770101,4.9418774999999995
100755801,2.7701849999999997
100769524,10.2804375
100769808,0.0
100770583,4.5106775
100771153,0.020644225000000002
103159091,0.49599849999999995
100771732,0.0
100772021,13.215449999999999
100772304,0.0
100756686,0.0
100756973,0.01243895
100772598,0.0
103161345,0.0
100755507,163.4965
100771441,82.57625
100770871,34.06355
100757261,22.970675000000004
100757547,16.359250000000003
100772891,76.175575
103159391,0.0
100773656,22.0088
100774523,0.0
100774815,0.00891315
100773181,10.6217
100750331,60.620774999999995
100773946,41.343925
103159392,0.0
100751108,0.0
100759269,0.50412785
100752777,5.7659325
100760055,0.10072945
100758986,40.32625
100750620,51.548075
100759557,23.092675
100760932,0.0
100761510,2.93602
100761220,1.5923425
100753080,2.9812875
100762386,1.5476424999999998
100761797,0.25926375
100762088,6.3026349999999995
100763257,0.0
100753375,0.0
100762968,0.0
100760643,67.689275
100762678,34.867
100763722,16.183500000000002
100689376,527.148
100764305,0.0
100765187,0.0
100764900,0.01714725
100764604,3.6225774999999993
100753676,59.0252
100753973,23.455949999999998
100689460,2.671005
100765665,145.540725
100766252,0.026189
100764009,21.0407
100767127,0.13976597500000001
100766833,36.202799999999996
100766541,47.774775
100767904,0.24602374999999999
100754845,2.44089
103161370,0.04346025
103161371,0.1208505
100755135,1.6309575
100754271,22.491125
100754557,12.088035
100765955,4.1782425
100755419,0.0
100755711,0.0
100768667,25.459
100768192,14.466075
100767415,13.035925
103164372,0.0
100768960,16.840575
100769526,11.860899999999999
100820646,0.0
100756293,0.0
100770103,0.02488295
103159378,0.044134
100756877,5.625814999999999
100757462,0.0
100757169,9.013950000000001
103161373,0.29693824999999996
100770390,0.015331725
100756007,4.603820000000001
100769810,122.67125
100757748,0.5905345
100770955,19.24815
103159421,0.0
103164539,0.3931635
100770670,339.69475
100758322,0.01250145
100771533,17.892674999999997
100771824,17.914625
100772106,2.969535
100758613,23.236050000000002
100772976,0.0
100773553,0.0
100773843,0.0
100772395,28.891125000000002
100773269,0.0
100774628,0.139232325
100758038,7.8355950000000005
100771241,12.8283625
100772689,1.7149225
103158642,0.6985017499999999
100774138,2.6313850000000003
100750441,0.0
100758900,0.043088875
100774919,22.022225
100750726,10.8342875
100689417,39.53255
100759191,35.667975
100751023,136.70149999999998
103159150,0.12651099999999998
100751897,0.0
100752182,0.0
100752475,0.0
100751608,14.807125
100751312,0.0414499
103159102,23.069924999999998
100760056,3.04865
100759767,14.0791
100760350,0.14930105
103159240,0.0
100760644,0.00296125
100770956,0.0
100770105,0.0
100771243,0.0
100770672,0.0
100761511,0.0
100761221,20.460075
100761798,0.0
100762089,0.0
100771826,0.0
100762387,10.380677500000001
100771535,9.583155
100772108,0.0
100772978,0.0
100772691,0.0
100773555,0.0
100763343,0.0
100773271,0.0575835
100773845,0.31069675
100764116,11.271350000000002
100763827,1.0919975
100763049,13.361495000000001
103160239,0.0
100764712,9.0962125
100765189,29.5421
103159776,3.404805
100764416,47.727025000000005
100760933,36.73635
100774140,0.0
100774427,0.007979075
100765768,10.4441475
100766060,0.0
100775006,0.123248525
103159836,0.5149975
100767513,0.0
100751111,0.0
100750524,0.0
100768091,0.0
103159957,0.0
100767801,0.005382575
100767223,9.614625
103160405,0.0
100751403,0.0
100769239,4.697065
103160183,0.37646100000000005
100769812,0.80193775
100769528,1.7416749999999999
100751978,1.3587200000000001
100751692,6.2643249999999995
100766644,10.217514999999999
100766935,23.28685
100765478,62.747825
100752863,0.004684375
100757650,0.0
100752562,0.179741775
100752265,79.44605
103160219,0.0
100758512,0.039519725
100768378,6.981725
103159992,0.0
100753163,15.11945
100820676,0.0
100758228,35.402675
100753460,0.0
100759371,0.07292175
100759658,0.0
100759089,0.05349625
100754272,0.0
103160653,0.0
103160634,0.0
103160924,0.0
100759947,22.529175
100754558,0.0
100758801,28.143575
100753762,1.8280875
100755909,0.0
100755616,2.539405
100754846,3.914835
100756195,111.037
100756784,32.591575
100756487,10.97291
100760241,0.0
100760534,0.9367602500000001
100757363,0.096801
103160821,0.0
103160839,0.0
100760826,0.0
100757071,11.937225
100761407,8.4588725
100761115,54.347274999999996
103161022,0.523443
103161442,0.0046211
100761695,17.749525
100761985,0.0
100765877,0.0
100764714,96.255425
100762273,14.33995
100765590,29.231099999999998
103161144,1.4687875
100762571,0.0
103161159,0.0334164
100766172,45.632875
100767049,0.0
103161302,1.3705577500000001
100766464,13.745225000000001
100767331,13.566225
100820636,0.0
100764118,0.0
100767620,9.076045
103161374,0.0
103161384,0.0921304
100768194,0.058971800000000005
100767906,5.621074999999999
103161426,0.0
100766754,36.335475
100764418,3.7449275
100774142,0.0134962
100768469,0.21227825
103161398,6.212244999999999
100769046,0.0
100775008,0.078087
103161626,2.383445
103161583,0.131349825
100750525,1.6050625
100769336,2.0593525
100750817,0.0
100770483,0.0
100769917,0.0
100751404,0.14738075
100770198,0.0
100769625,9.46595
100751693,0.11440624999999999
100770957,1.14198675
103161942,0.0
100768764,8.7337825
100752266,9.9149875
100751979,3.6775550000000004
100771536,251.5385
100752865,0.0
100772398,0.0
100771827,0.8977057500000001
100772109,0.0
100752564,3.4515675
100773273,0.0
100754059,3.79912125
100773847,2.4315575000000003
100756689,0.0
103161936,15.803525
100772692,7.606349999999999
100756974,0.0
100772979,9.760702499999999
100754635,1.3568950000000002
100757549,11.294375
100754928,0.0
100755510,0.1421265
103161179,0.0
100755220,0.0
100755804,0.0
100754351,4.9264175
100757828,80.644525
100758121,33.406025
103162290,0.29229425
100759559,0.0
103162425,0.0
100756388,0.2315245
100759850,0.0
103162410,2.4843375
100767798,0.1356896
100760734,0.07968839999999999
100756099,9.78627
100760145,35.7484
100752971,2.6480875
100753570,0.1521845
100753872,0.0480415
100761315,0.0218579
100753269,26.27785
100761604,0.0
100761888,2.82817
100762175,120.7445
100762757,46.2927
100763344,4.49341
100762471,54.20405
100763910,0.0024713925
100763624,32.978049999999996
100764502,0.0
100764205,0.33668624999999996
100764799,0.81446975
100754172,19.306625
103163824,0.07567175
100765769,0.0011952025
100766061,9.728555
100766354,9.006947499999999
100766645,10.531205
100765297,30.368650000000002
103162781,0.0
100754745,0.0
100766936,0.0
100763050,14.129175000000002
100754458,22.024925
100767224,21.932975
100755038,0.0
100755617,0.0
100767802,0.44456425
100768092,30.9211
103163836,0.0
100756196,0.0
100768576,3.4962575
100769719,0.0
100769436,0.0
100756785,0.0
100770013,0.0
100770873,0.0
100757072,0.0
100770585,0.0
100757364,0.0
100769150,12.529
100770299,3.5657699999999997
100756488,55.166599999999995
100768872,20.483999999999998
100755324,23.138925
100767514,153.29174999999998
100757651,95.4964
100757936,6.089992499999999
100771155,0.19765575000000002
103160220,0.050499375
100758802,0.0
100758229,0.024747925
100758513,0.0
100759659,0.0
100759372,0.0
100773657,0.0
100772200,0.0
100772493,0.0
100772785,0.0
100773366,0.0
100773073,1.1944025
100771734,8.783685
100773947,7.95952
100774524,0.0
100774816,0.08867245
100774241,21.6715525
100771443,99.571025
103160221,0.80355625
100752076,0.031679525
100750621,0.052110325
100759948,114.57675
100760242,0.0
100760535,0.0
100760828,0.8213802499999999
100761117,0.0
100752670,0.3765925
100761606,0.0
100766254,0.0
100766543,0.0
100761890,0.41179325
100766835,1.89406
100752368,25.857425
100765957,3.1734625
103163850,0.38673225
100765667,45.500025
100767129,0.0
103161216,0.30199675
103161215,2.2871810000000004
103161219,0.0
100767417,0.06902074999999999
100767711,6.871745
100750332,19.200400000000002
100762177,95.42075
103161217,0.3049385
100762759,16.083575
100769152,0.0
103159893,4.8809025
103161218,4.875845
103159892,0.96523475
100769437,7.725995
100768874,14.80635
100764010,0.0
100768578,501.41025
100763346,40.562974999999994
103163845,0.0
100770301,3.0197024999999997
100770587,0.0
100770875,0.0
100820671,0.0
100772307,0.0
100771157,0.0
100771445,0.0
100772024,0.0
100771735,0.0
100772601,0.0
100773464,6.8261225
100759560,5.5273200000000005
100764902,16.422325
100764606,0.0
100765377,0.021633925
103163846,0.020206175
100773753,27.752424999999995
100760146,59.114374999999995
100759851,2.7717875
103159909,0.0
100774049,0.0
100760438,19.635125
100760735,50.1355
100774340,13.89545
100750333,0.017342025
100750622,0.43439025000000003
100752267,0.0
100761026,29.231450000000002
100751790,5.5140975
100752866,0.0
103160911,0.2670275
100752565,8.1343675
100761316,7.96231
100753166,3.4051925
100751503,43.45335
100761891,0.0
100761607,11.52855
100689303,20.605
100753765,0.048226825
100762178,0.015331725
100753463,31.964125
100750917,18.471375
100751209,15.883925000000001
100774630,35.040875
100762474,0.25371974999999997
100763347,0.0039331
100763626,0.0
100762760,0.0
103161466,0.0
103163871,0.0
100763053,0.0
100689395,86.423725
100754353,7.648060000000001
100763912,17.563925
100764504,0.890818
100764207,9.5859425
100755325,1.01571
100754061,14.410145
100755618,9.945587499999998
100756489,0.02050045
100764307,232.15975
100755911,37.536649999999995
100756197,8.1381875
100754849,1124.3925
100765089,0.051395425
100764801,33.7265
100757365,0.0
100757073,0.0
100757652,0.0
100757937,1.46092
100756786,12.3855
100758406,0.07041235
100765958,0.004756575
100765668,18.1703
100758697,17.001800000000003
100765378,102.92739999999999
100766836,0.3331657499999999
100766544,0.0
103160735,0.17082217500000002
100767130,12.3711
100767418,3.865755
103163869,0.22416775
100766255,72.109725
103160732,0.26410075
103163868,1.9781149999999998
100770302,0.0
100768005,0.0
100767712,8.3564875
100770588,0.0
100768295,0.37862275
100759272,5.322125000000001
100758989,12.458974999999999
100768875,0.0
100768579,0.0
100771158,20.959825000000002
100771736,0.8909732499999999
100769438,0.0
100769153,0.14659784999999997
100771446,2.908455
100772602,0.0
100772308,0.0
100770876,6.406435
100772025,10.955977500000001
100772894,6.402407500000001
100770016,0.0
100773754,2.3560624999999997
100774050,0.0
100773184,2.3373625
100774922,0.0
103163878,0.003428125
103159339,0.0
100750730,0.0
100751791,0.0
100751317,0.0
103160643,0.581417
100774341,25.950975
103163880,0.123092425
100755619,6.117867500000001
100755912,13.804
100755326,22.083325000000002
100752077,2.1127825000000002
100752671,27.1487
100757366,0.032774025
100757074,0.0
100756787,0.0
100752972,12.186375
100756490,184.46755
103162238,0.2584495
103162237,1.068356
100757653,0.0
100757938,0.0
100754459,0.0
100754173,0.018365625
100755039,0.0
100754746,1.6531932500000002
103161528,0.0
100753270,19.201999999999998
103160975,0.0
103163896,0.0
103163888,0.09454409999999999
100761892,0.0
100761608,0.0
103160974,0.0
100758230,13.41585
100753873,6.207072500000001
100753571,6.763035
100762179,0.07410625
100758803,0.0
100762475,0.0
100759091,0.0
100689061,60.90835
100763054,0.0
100763627,0.0043488
103160971,10.008935000000001
100764208,4.8809075
100764505,8.359695
100758514,77.167475
100759373,41.782250000000005
100759660,0.48066
103161028,35.907125
100765379,12.82715
100765959,1.11995
100765090,16.793725000000002
100765669,159.93275
100759949,9.4329225
100766256,4.2218275
100760243,6.4550775
100760536,0.0
100689206,0.6225315
100766837,0.0
100766545,81.604725
100767419,0.63365975
100761317,0.57165125
100767131,16.241325
103161027,1.09681825
100767713,4.8542975
103161531,0.100321925
100768296,0.0
103161533,0.35906675
100768580,10.1552275
100760736,8.5094125
100768876,17.24535
100769723,0.0
100771924,0.0
100772494,0.0
100772201,0.0
100772786,0.0
100761318,0.0
100773074,0.0
100773948,0.0
100761609,0.0
100774242,0.0
100773658,0.0
100773367,0.0
100763055,0.0
100763349,0.0
100763914,0.0
100750334,0.0
100761893,0.0
100764209,0.0
100762476,0.0
100762180,0.0
100774525,0.0
100750623,0.0
100753168,0.0
100751981,0.0
100752567,0.0
100751114,0.0
