id,expression
AB001516_at,0.3160320989476503
AB003731_f_at,0.6732346962597752
AB003732_f_at,0.6931390588641757
AB004109_at,0.42485363413608074
AB006130_at,0.3204088973009773
AB007021_at,0.2851101219509051
AB007622_at,0.3731637499699127
AB014875_at,0.4412261831497747
AB015640_at,0.2764731758851303
AB016530_at,0.3668855087488947
AB016930_at,0.4612063985373375
AB017263_at,0.46140044082303333
AB017635_at,0.3371244017730736
AB020230_at,0.3229948435510601
AB020230-rc_at,0.2271173715067907
AB020232_s_at,0.30167291537112895
AB020232_x_at,0.28475460362829813
AB020233_at,0.28399605188595844
AB022191_at,0.3462959547294548
AB024425_at,0.37859627449878713
AB027759_at,0.38519986526072136
AB028235_at,0.21126268417928828
AB028497_at,0.38675681940448065
AB028636_at,0.34079308611189213
AB028638_at,0.3340295599189475
AB033705_at,0.3801723535808803
AB035211_at,0.28895818832723086
AB035308_at,0.3648580321378604
AB041733_at,0.29835419305704364
AB045204_at,0.4686339445515122
AB046957_at,0.28498823864259254
AB046958_x_at,0.3217361898971096
AB048195_at,0.356525054491557
AB056121_at,0.3325017324421505
AB056577_x_at,0.4313219693950273
AB059273_at,0.20256817070460495
AB065000_s_at,0.44838345973614235
AC000023_at,0.2578340625855587
AC084885_at,0.3427710224100242
AF000358_at,0.28486707243770587
AF000359_at,0.2893510769901054
AF004368_at,0.5063829032182426
AF004814_at,0.49615824852351026
AF004830_at,0.4372935292388573
AF004831_at,0.4339720590094446
AF005245_at,0.338260551312239
AF017636_at,0.3371958371061057
AF019611_at,0.26280792603348013
AF019995_at,0.3373855732827523
AF019997_at,0.23671675387601
AF019998_at,0.18802459307035102
AF020767_at,0.29205474281358895
AF020900_at,0.3368931090640711
AF022938_x_at,0.4092681611124836
AF022941_x_at,0.5536820988678146
AF022942_at,0.4588843456939141
AF022944_at,0.309775608919086
AF022945-rc_f_at,0.4225031064652235
AF022945-rc_x_at,0.4736732000263768
AF028017_at,0.36983048877813846
AF030413_at,0.46953631401319906
AF030865_x_at,0.17260623675947326
