id,expression
AJ225170_f_at,3.842687561
AJ225170_x_at,2.655300113
AJ242835_at,4.49657819
AJ245699_at,5.035735619
AJ245700_at,4.756888959
AJ251361_at,4.565403701
AJ286821_at,5.34719583
AJ291438_at,4.419603543
AJ298842_at,6.373138762
AJ299085_at,4.74142769
AJ302037_at,4.90355413
AJ303074_at,9.027809504
AJ401300_at,4.29882318
AJ401301_at,6.930736435
AJ401302_at,3.813630316
AY007214_at,4.372886177
AY007988_at,4.61036795
AY007989_at,3.414977949
AY011213_at,4.710528266
AY011463_at,4.341260505
AY011521_x_at,4.598061135
AY011581_at,5.020036534
AY011645_at,5.016870673
AY011768_at,2.948656501
AY011885_at,4.508068698
AY011942_at,4.478925852
AY012002_at,3.909642901
AY012055_at,3.958991685
AY029606_f_at,3.190967164
AY029611_f_at,3.193523405
AY038070_x_at,5.275287355
AY040534_at,4.399718883
AY046321_at,5.116565113
BI431000_at,3.055105487
BI431001_at,3.356224393
BI431002_at,3.811349017
BI431005_x_at,3.15250566
BI431006_x_at,2.583918073
BI431007_x_at,1.933427096
BI431008_at,5.630669734
D10878_at,4.982894901
D10913_s_at,4.475260923
D10914_s_at,4.368989418
D11437_at,4.110524091
D11452_at,5.514414527
D15058_at,8.518496365
D17295_at,3.712799012
D17313_at,5.133660413
D17449_at,4.452363922
D21216_at,4.590670192
D23671_at,4.975245535
D26114_at,4.634452583
D28566_at,4.781739801
D30051_at,4.330278884
D31814_at,5.088991988
D38103_at,5.507101281
D43757_at,4.266294006
D45419_at,5.596328089
D49709_at,5.068469314
D50577_at,4.61825543
D50578_at,4.339724845
D63782_at,4.415066048
D83230_at,5.845543362
D85517_at,5.087643472
D86466_at,5.571372487
D86467_at,5.278858481
D86525_at,5.246322367
D86951_at,3.708694298
D89285_at,5.067109513
D89286_at,3.679126332
D89287_at,4.731139698
E01536_at,3.550536494
E11160_at,4.357115421
J00059_at,3.771979936
J00061_at,8.386758994
J02686_x_at,2.92138098
J03847_at,3.775415371
J04084_at,4.648284503
J04122_at,4.297429467
J04123_at,4.888460572
J05281_at,4.952957326
J05613_at,4.951224676
K00922_at,4.519293589
K00923_at,5.880406452
K00924_at,6.572301813
K00925_at,3.435505077
K00926_x_at,3.171744577
K00927_at,4.592523077
K02407_at,5.325540433
L00169_at,3.681477674
L00170_x_at,4.83227398
L00171_at,5.575208454
L00173_at,5.694903651
L00176_at,5.645878169
L00178_at,5.798028441
L00179_at,5.610474292
L00180_at,4.735164293
L00181_at,4.911201143
L00182_at,4.845798498
L00183_s_at,5.646575299
L00325_x_at,6.411235159
L00327_x_at,7.630598196
L00328_at,7.920209816
L00329_at,6.736103256
L00330_x_at,7.786594388
L00331-rc_x_at,5.307486838
L00332_at,6.082690268
L00333_x_at,5.912419754
L00334_at,7.156804932
L00365_at,6.071703757
L00366_x_at,8.287124474
L00367_x_at,6.090495449
L00368_x_at,7.929060068
L00369_at,7.389025755
L03277_at,3.879923839
L03286_f_at,5.728400732
L03286_x_at,6.553126654
L03287_f_at,5.239076951
L03287_x_at,7.155800284
L04690_at,3.072326451
L06008_at,5.161465147
L06092_at,4.763914205
L06863_at,6.429039532
L06947_at,5.290682905
L06948_at,5.241496619
L12055_at,3.63978914
L13244_at,4.479148818
L13383_at,4.356281358
L13384_at,3.952426045
L15625_at,5.649843385
L18986_at,7.219499576
L19142_f_at,4.433007205
L22614_at,3.509790344
L25339_at,3.729783673
L27428_at,3.046353849
L27428-rc_at,4.313436655
L28124_at,5.907118512
L28147_at,5.608465439
L29424_x_at,6.088312711
L29528_at,5.192858815
L29564_at,5.531611694
L31957_at,3.606540763
L32978_at,2.232845989
L33676_at,8.50814319
L35922_at,4.752885101
L37748_at,4.963619499
L38709_at,4.342501313
L38710_s_at,4.588982093
L38710_x_at,4.275538862
L40623_at,5.117477444
L42570_s_at,5.826549748
L47236_x_at,5.757580147
M10134_at,5.112049371
M10215_x_at,5.465604018
M11869_at,5.123755947
M12015_at,4.18975731
M12016_at,3.476019582
M12103_x_at,6.488763213
M12104_at,5.996510124
M12329_at,8.705787504
M12329_g_at,10.14106405
M12995_at,4.906762268
M14055_at,5.074020729
M14147_at,4.627830748
M14148_s_at,4.579339994
M14148_x_at,2.643114245
M16963_x_at,3.444852497
M17290_f_at,5.463007924
M17290_x_at,3.755767275
M19147_at,3.726730285
M19538_f_at,6.311281291
M21955_x_at,4.488391193
M22088_at,4.846871089
M22350_at,9.68854465
M22374_at,2.941808818
M23160_at,4.170710252
M25789_f_at,5.446408147
M25789_x_at,2.446112149
M25790_s_at,4.440580267
M25790_x_at,3.285405606
M25791_f_at,4.519846418
M25791_x_at,4.646594525
M25794_x_at,2.622921493
M25798_x_at,3.001253037
M25799_x_at,3.912593444
M25895_x_at,3.654224318
M26164_at,6.600014057
M26328_at,5.028699287
M26640_at,8.654354793
M26642_at,3.27748975
M27146_at,3.616083928
M27241_at,3.574002831
M27838_s_at,5.34487885
M27838_x_at,3.883024136
M29238_at,5.320407655
M29894_at,4.41893336
M29895_at,2.865197857
M31610_at,4.813931953
M31621_f_at,5.186943609
M31621_x_at,5.901485916
M33067_x_at,4.564026301
M33068_f_at,3.016769359
M33068_x_at,3.235326672
M33579_at,4.436781298
M34562_at,3.344204599
M34665_at,8.825872496
M35008_at,4.349297834
M55438_at,4.422315945
M55439_at,4.251564179
M57970_at,4.297907991
M58148_at,3.595833624
M58164_at,4.581770069
M59252_f_at,4.430786102
M59772_at,4.538764166
M60771_at,3.994106602
M60773_at,3.145062524
M60973_at,6.86288495
M63311_at,5.693087677
M63629_at,5.515232301
M63992_at,4.683612658
M73970_at,5.752171341
M73991_at,4.35846797
M74776_at,4.134528786
M76730_at,6.473391516
M80242_at,4.254113573
M80243-rc_at,5.42663894
M80427_at,4.664215816
M81108_x_at,4.611806159
M87540_at,4.445988682
M87541_at,5.18588747
M88136_at,7.851779822
M95297_at,5.667765579
M96650_at,4.863663199
M96676_at,9.641885822
M99691_at,7.217379568
S46270_f_at,6.728521762
S46270_x_at,4.091570812
S56005_at,4.216754146
S64241_at,4.857075869
S66296_at,4.051722242
S66299_at,5.269685728
S68899_at,4.352070779
S69934_at,8.885994762
S70720_at,4.465060902
S73810_at,5.763262929
S74024_at,5.715688062
S74095_at,4.713841666
S78750_at,4.66445271
S79122_x_at,3.473916769
S79717_x_at,3.92096811
S79721_x_at,4.329487052
S79879_at,3.930990835
S80433_x_at,4.979174048
S80616_at,4.47577585
S80870_at,3.240509819
S81773_at,5.428875376
S81843_at,5.315980386
S82228_at,4.854024481
U02028_at,2.337205383
U03031_at,5.421156332
U04967_at,4.626435505
U04968_at,5.486488405
U05959_at,6.689106484
U06143_at,5.21793049
U09103_at,5.436114601
U09104_at,2.636677829
U09453_at,4.838103641
U09941_at,3.166905038
U10249_at,5.674690443
U10880_at,5.333461531
U11453_at,7.111953571
U11790_at,4.817426076
U12329_at,4.822533586
U12420_at,5.24046571
U12585_at,4.560984178
U13152_at,5.83209788
U13152-rc_at,5.001405961
U15161_s_at,6.946155425
U15161_x_at,4.934425971
U17165_at,3.96437445
U17166_at,5.149568053
U17871_at,4.304539745
U20114_at,5.635620266
U20434_s_at,5.93246835
U20951_at,6.061136964
U21102_at,4.565772188
U21937_at,4.628000023
U22818_at,6.427425387
U22819_s_at,3.762679479
U22819_x_at,4.073154876
U24679_at,3.277347711
U26588_at,5.080022292
U29167_at,5.274266809
U29660_s_at,4.744991569
U29660_x_at,5.493248095
U39304_at,7.045702345
U40585_at,4.595205797
U40626_at,4.70364477
U41500_at,6.146957045
U41738_at,5.138582265
U41899_at,6.566554982
U42430_at,4.209834689
U42440_at,4.00307418
U42441_x_at,5.318180476
U43278_at,2.10258736
U43333_at,5.133916701
U47320_at,5.407972422
U47332_at,4.547563782
U48852_at,6.756055187
U49649_at,4.571684257
U49841_at,4.857790924
U50564_at,5.107465173
U50565_at,4.922901022
U50566_at,5.980051781
U51162_at,4.867151365
U56144_x_at,3.430685177
U58672_at,8.165092229
U58838_x_at,5.295882834
U58839_x_at,6.187828821
U59429_at,3.513600868
U60263_at,6.290450196
U61141_at,5.773016729
U62587_at,3.943589827
U62587_g_at,4.215063691
U62588_x_at,7.960417393
U62810_at,3.267520528
U65889_at,3.163302327
U66490_at,4.423514636
U66494_at,5.267417798
U67060_at,7.510640077
U67146_at,6.865375721
U71279_at,3.421588214
U71280_at,5.59924751
U71399_at,5.3262391
U73375_at,6.043871197
U73854_at,4.467334021
U78769_at,4.323819627
U83983_at,3.483134665
U88975_at,4.198329479
U91742_at,6.098593566
U91904_at,3.890160816
U91937_at,5.587408542
U91938_at,4.523948581
U94480_at,2.729947413
U94481_x_at,2.694063773
U94482_f_at,3.696980363
U94482_x_at,4.715801472
U94483_x_at,3.566484259
U94484_at,4.537306334
U94485_at,5.66583705
U94486_x_at,6.633499929
U94995_at,4.474107081
U96612_at,4.597719216
WAN0088IF_at,4.273601694
WAN0088IG_at,5.870476195
WAN0088II_at,4.47792424
WAN0088IL_x_at,2.844606454
WAN0088IO_x_at,3.764070067
WAN0088IR_at,6.659086646
WAN0088IT_at,5.201161475
WAN0088IV_x_at,11.0429116
WAN0088IY_at,4.287308819
WAN0088IZ_x_at,3.12957357
WAN0088J0_at,6.393496512
WAN0088J1_at,6.31785227
WAN0088J2_at,6.174174581
WAN0088J5_at,6.606053288
WAN0088J7_at,4.288907039
WAN0088J9_x_at,4.49671788
WAN0088JB_at,4.786818197
WAN0088JC_at,3.873709568
WAN0088JD_at,5.272015048
WAN0088JE_at,7.082053672
WAN0088JF_at,3.706080292
WAN0088JH_at,3.428591858
WAN0088JI_at,4.321423754
WAN0088JJ_at,6.724983092
WAN0088JK_at,4.680148841
WAN0088JL_at,3.13034212
WAN0088JM_x_at,4.198365153
WAN0088JM-rc_at,5.13849321
WAN0088JO_at,3.85348061
WAN0088JP_at,4.512653309
WAN0088JQ_at,3.519107945
WAN0088JR_at,5.71049474
WAN0088JS_at,4.114414026
WAN0088JV_at,6.282349519
WAN0088JX_x_at,3.542532086
WAN0088JZ_at,4.877093218
WAN0088K0_at,6.69414318
WAN0088K1_at,5.847058398
WAN0088K2_at,5.096652911
WAN0088K3_at,6.649305742
WAN0088K6_x_at,2.049378292
WAN0088K7_x_at,11.16471546
WAN0088KC_at,4.687563636
WAN0088KE_at,4.095101275
WAN0088KG_at,8.703456999
WAN0088KK_x_at,5.644147073
WAN0088KM_at,4.543891695
WAN0088KO_at,3.580246144
WAN0088KP_at,5.44470921
WAN0088KQ_at,5.082937585
WAN0088KR_at,6.493613003
WAN0088KW_at,4.268418211
WAN0088KX_f_at,4.05742925
WAN0088KX_x_at,3.417121627
WAN0088L0_f_at,3.08215489
WAN0088L0_x_at,5.081136377
WAN0088L2_at,6.316907105
WAN0088L3_at,5.060366429
WAN0088L6_f_at,3.772679335
WAN0088L6_x_at,6.2872967
WAN0088L8_at,3.69619859
WAN0088L9_x_at,5.886038128
WAN0088LB_at,3.540427714
WAN0088LC_at,6.314846245
WAN0088LD_at,5.924057406
WAN0088LE_at,6.751325437
WAN0088LF_at,6.348354547
WAN0088LH_at,5.317074984
WAN0088LM_at,4.498625613
WAN0088LN_f_at,5.524878712
WAN0088LN_x_at,3.871782218
WAN0088LO_at,5.748861709
WAN0088LP_at,5.498010888
WAN0088LT_at,5.936100074
WAN0088LW_at,3.430133476
WAN0088LX_at,3.640467043
WAN0088LZ_at,4.497828087
WAN0088M2_at,5.515609495
WAN0088M4_at,6.56257795
WAN0088M9_at,6.198275816
WAN0088MA_x_at,6.096721427
WAN0088MB_at,4.953919869
WAN0088MC_at,5.892925836
WAN0088MD_at,6.231318316
WAN0088MF_at,5.739630857
WAN0088MM_at,4.520789386
WAN0088MP_at,3.933607549
WAN0088MS_at,6.174717413
WAN0088MV_at,4.289352794
WAN0088MW_at,4.670441552
WAN0088MY_at,3.754299941
WAN0088N0_at,4.294859235
WAN0088N3_at,5.169522582
WAN0088N6_at,6.864044513
WAN0088NC_at,5.537844487
WAN0088NF_at,4.267696966
WAN0088NG_x_at,3.083430957
WAN0088NK_at,2.500727385
WAN0088NL_at,4.176326571
WAN0088NN_at,5.481867165
WAN0088NO_x_at,3.167720871
WAN0088NP_at,5.323110026
WAN0088NQ_at,4.622531573
WAN0088NR_at,5.301737873
WAN0088NS_at,4.629853846
WAN0088NU_at,5.576701383
WAN0088NV_at,6.209726876
WAN0088NX_at,6.0499989
WAN0088NY_at,6.028635725
WAN0088NZ_at,4.618233246
WAN0088O0_at,2.586907688
WAN0088O2_at,3.449870542
WAN0088O3_at,5.192110371
WAN0088O4_at,6.230711954
WAN0088O9_at,8.657861181
WAN0088OB_at,5.68078734
WAN0088OD_at,3.235318345
WAN0088OE_at,5.874375056
WAN0088OF_at,3.922872991
WAN0088OF-rc_at,4.325464261
WAN0088OH_at,5.97844592
WAN0088OI_at,4.799052423
WAN0088OL-rc_at,7.206006624
WAN0088ON_at,5.305787482
WAN0088OO_at,8.219928165
WAN0088OP_at,4.291267255
WAN0088OQ_at,3.674650685
WAN0088OR_at,2.770370615
WAN0088OT_at,5.995808461
WAN0088OU_at,4.95315001
WAN0088OV_x_at,4.000788669
WAN0088OX_x_at,2.703033424
WAN0088OY_x_at,5.823038114
WAN0088P2_at,5.339002495
WAN0088P5_at,2.89934466
WAN0088P6_at,4.410182956
WAN0088P8_at,6.140342695
WAN0088PE_at,4.249734408
WAN0088PF_at,4.766743824
WAN0088PG_x_at,4.84484069
WAN0088PH_at,5.877821165
WAN0088PL_at,7.478549434
WAN0088PQ_at,4.649263634
WAN0088PR_at,3.281398486
WAN0088PT_at,7.87569274
WAN0088PU_at,6.23546356
WAN0088PX_at,4.126093629
WAN0088PY_at,4.427317832
WAN0088PZ_at,7.503321334
WAN0088Q1_at,4.62724687
WAN0088Q4_at,3.757453798
WAN0088Q6_at,7.399332693
WAN0088Q9_at,3.906644846
WAN0088QB_x_at,4.944664794
WAN0088S8_at,5.99390774
WAN0088SA_at,6.175933242
WAN0088SF_at,4.490503387
WAN0088SG_at,5.13271889
WAN0088SH_at,5.532366152
WAN0088SI_at,4.133708696
WAN0088SN_at,5.248947607
WAN0088SP_at,5.63789975
WAN0088SQ_at,2.721001949
WAN0088SS_at,5.078826743
WAN0088ST_at,5.789159387
WAN0088SV_at,4.045714675
WAN0088SW_at,4.855829062
WAN0088SX_x_at,2.790646889
WAN0088T0_at,9.515508799
WAN0088T1_at,4.906067871
WAN0088T2_at,7.482261432
WAN0088T3_at,9.083411316
WAN0088T4_f_at,6.568960181
WAN0088T4_x_at,2.88638464
WAN0088T4-rc_f_at,8.281452258
WAN0088T4-rc_x_at,4.51920887
WAN0088T5_at,6.660949816
WAN0088T6_at,5.079457765
WAN0088T7_at,6.746272482
WAN0088T8_at,4.479184597
WAN0088TE_at,4.051561782
WAN0088TG_at,5.272649859
WAN0088TK_x_at,6.409336937
WAN0088TL_at,3.495439815
WAN0088TM_at,3.193889115
WAN0088TN_at,5.167233295
WAN0088TP_at,5.908758448
WAN0088TQ_at,3.27809138
WAN0088TV_at,4.405875848
WAN0088TW_at,4.688145813
WAN0088TX_at,5.910710428
WAN0088TY_at,5.70238303
WAN0088U0_at,5.209844355
WAN0088U2-rc_at,5.222651502
WAN0088U4_at,6.057358843
WAN0088U6_at,6.406696006
WAN0088U7_at,6.514726092
WAN0088W7_s_at,10.69456225
WAN0088W7_x_at,4.258742708
WAN0088W8_at,5.817823612
WAN0088WA_at,3.034331498
WAN0088WC_at,5.388904923
WAN0088WD_at,5.004027024
WAN0088WE_at,4.153196675
WAN0088WF_at,4.384828271
WAN0088WG_at,6.350478336
WAN0088WK_at,3.814818303
WAN0088WM_at,6.917683289
WAN0088WO_at,4.264701874
WAN0088WP_at,5.384604204
WAN0088WR_x_at,5.309566141
WAN0088WW_x_at,4.290640725
WAN0088WX_f_at,5.151492748
WAN0088WX_x_at,3.723357015
WAN0088WY_at,5.526758665
WAN0088WZ-rc_at,4.869101856
WAN0088X2_at,6.315795109
WAN0088X3_at,3.994976594
WAN0088X4_at,4.418438014
WAN0088X5_at,5.95465187
WAN0088X6_at,3.566238617
WAN0088X8_x_at,3.719633015
WAN0088X9_at,10.33868212
WAN0088XA_at,2.463860964
WAN0088XB_at,2.508677582
WAN0088XD_x_at,4.457900098
WAN0088XE_at,7.372874888
WAN0088XH_at,6.228292759
WAN0088XI_at,5.072520436
WAN0088XK_at,3.872434693
WAN0088XL_at,6.074943211
WAN0088XM_f_at,4.779069564
WAN0088XM_x_at,3.797238799
WAN0088XN_at,5.036397674
WAN0088XP_x_at,2.763789423
WAN0088XQ_at,6.025340503
WAN0088XS_at,5.138686936
WAN0088XX_at,4.172207736
WAN0088XY_at,3.368168722
WAN0088XZ_at,6.442975504
WAN0088Y0_at,5.616649347
WAN0088Y1_at,4.285503958
WAN0088Y2_at,4.597858425
WAN0088Y4_at,4.529141218
WAN0088Y5_at,4.531744821
WAN0088Y6_at,4.189507737
WAN0088Y7_x_at,8.13196008
WAN0088Y9_at,4.102707649
WAN0088YA_at,8.591063337
WAN0088YD_at,6.609603392
WAN0088YE_at,5.403691592
WAN0088YF_at,7.080607579
WAN0088YG_at,2.467983217
WAN0088YI_at,6.79757426
WAN0088YJ_at,3.621990247
WAN0088YK_at,5.997382545
WAN0088YL_f_at,6.946732027
WAN0088YL_x_at,6.577915239
WAN0088YM_at,5.377552779
WAN0088YN_at,3.318493299
WAN0088YP_at,5.331961812
WAN0088YR_at,3.302293773
WAN0088YS_x_at,3.887655247
WAN0088YU_at,5.061921257
WAN0088YV_x_at,3.642237379
WAN0088YX_at,4.411736474
WAN0088YY_at,5.889315494
WAN0088Z2_at,5.185608949
WAN0088Z2-rc_at,5.016173063
WAN0088Z3_at,4.164033168
WAN0088Z4_at,4.767356046
WAN0088Z5_x_at,4.277188911
WAN0088Z6_at,5.485325084
WAN0088Z7_at,9.374158479
WAN0088Z8_at,9.138616791
WAN0088Z9_at,5.397634423
WAN0088ZA_at,3.388151596
WAN0088ZB_at,3.862897622
WAN0088ZC_at,6.520518813
WAN0088ZD_at,6.648481567
