gene,expression
100760238,10.53889925
100760532,82.41185
100761405,0.0460076499999999
100761113,80.38472999999999
100760824,1851.87375
100754742,3.9927093
100762470,0.404440025
103163223,0.8249595749999998
100761982,108.6550025
100761693,963.359325
100764797,0.024602275
100755321,43.3034475
100764203,441.880075
100762756,236.48295
100765375,11.591054500000002
100765086,303.20057499999996
100767046,0.12740775
100766751,1.18639075
100766461,52.6700175
100755907,0.0519956
100768090,0.0258615
100768666,0.3598142
100768959,0.7048077749999999
100769236,0.572974125
100768376,0.041120075
100769523,0.4417415999999999
100770100,0.041659625
100765873,1576.395
100766168,80.5036275
100756782,0.56048875
103160728,1.3859368749999998
103160850,0.2831737499999999
100750439,112.64267
100767327,673.9342250000001
103161316,13.8610825
100750724,333.48361250000005
100758510,36.573652499999994
100759087,0.006698575
100758799,0.9302951249999998
100751501,130.033885
100752074,41.45574
100751021,503.92805
100752668,0.038072
100752969,4.923576000000001
103163068,1.3510913499999997
100753568,3.861732449999999
100754170,0.5185093499999999
100753267,461.4943999999999
103163463,0.1656265
100753870,153.14052499999997
100752366,1586.51505
100752970,146.910275
103160754,363.39307500000007
100752669,0.5295357499999996
100770668,617.126225
100753871,0.014477575
100754171,136.44315
100753569,2002.08975
100770953,46.4636875
100754457,8.820456
100771531,8.6897015
100771822,0.03196825
100772103,0.007216025
100755036,0.099178
100772392,28.32764
100771239,442.629225
100772686,340.30770000000007
103163900,49.819865
100755322,550.38765
100755908,2.04580445
100773180,49.271382499999994
100773462,1.7455723749999998
100773751,81.483285
100756486,16.47790325
100756783,94.424695
100755615,270.17580000000004
103160753,4.29450325
100757070,470.777375
103163931,1.5093751
100757648,355.52699999999993
100757933,117.62242500000002
100774047,132.03503999999998
100758227,1043.9063
100774627,0.040750375
100758511,111.21684500000002
100774918,0.19680455
100759088,114.1934575
100759657,0.09285685
100750619,506.04585
100759946,2.219624125
103162392,23.2189
100760239,67.984635
100760533,0.02402185
100751208,0.6157795749999999
100774338,561.424425
100751502,0.12412315
100751789,0.5595039999999999
100760825,138.0443
100761406,80.4768025
100761983,0.00621825
100762569,0.014620875
100762271,10.8550235
100763147,0.023782125
100762856,38.185225249999995
100751975,0.106728825
100763721,0.0244901
100761694,361.497225
100763439,0.007726175
100764008,0.6257051
100752262,201.4781
100752075,156.67546
100764304,835.926475
103161118,1.374394075
103161117,10.14126925
100752559,170.608025
100764899,60.13081
100753160,0.4199493749999998
100765186,19.27900475
100764603,532.975875
100753759,46.309072500000006
100765476,314.277125
100753457,235.26755
100767414,1.405968575
100767126,629.64755
100768761,14.43005725
100769043,0.2835839
100754925,14.4578725
100755217,10.800096000000002
100768292,251.42660000000004
100768002,110.4483475
103161344,16.661863750000002
100755801,25.418204999999997
100770101,80.71033999999999
100769524,111.62667
100769808,0.1223515
100770583,58.45964250000001
100771153,0.3698775324999999
103159091,4.1302295
100772021,143.86627500000003
100755507,1891.7755
100772304,0.012945875
100756973,0.02261035
100771441,873.1865250000001
100770871,379.888175
100772891,622.9638749999999
100757261,216.25265000000005
100757547,210.25454999999997
100773656,709.5827
100773181,107.6903625
100774523,0.032409625
100774815,0.0661170499999999
100750331,790.769475
100773946,378.5282
103159392,0.6878804999999997
100759269,6.7306031
100752777,55.5004875
100750620,486.20115
100758986,455.4732000000001
100760055,0.95701785
100759557,224.72885
100760932,0.01820695
100761510,24.647599999999997
100761220,26.093247500000004
100753080,30.338965
100762386,9.33377075
100761797,1.8436996
100762088,72.01964749999999
100753375,0.0438274
100760643,733.5989000000001
100762678,337.28497500000003
100689376,6930.11225
100763722,184.769825
100764900,0.0883353249999999
100765187,0.05993325
100764604,47.92937499999999
100753676,646.866275
100753973,184.57997
100689460,42.4245725
100764009,242.005875
100765665,1428.9512500000003
100766252,0.131808525
100754271,168.2359075
100754557,107.621745
100765955,42.018127500000006
100767127,0.91271955
100766833,260.42827
100767904,2.716354725
100766541,636.937875
100754845,24.618403749999995
103161370,0.20191025
103161371,0.8145505
100755135,18.780238
100767415,144.0428
103164372,0.960319
100755711,0.008673575
100768667,348.6282
100768192,135.893395
