gene,expression
100760238,0.1489160184834159
100760532,0.3878297928405143
100761113,0.3848582399592307
100760824,0.7623372126136758
100754742,0.047731929242487876
100761982,0.4208694072559375
100761693,0.6834633975985499
100755321,0.31140799044070216
100764203,0.5894754942171162
100762756,0.5142040989296028
100765375,0.15945573904874313
100765086,0.5441085559617514
100766461,0.33457291145226425
100765873,0.7428958581819228
100766168,0.3850345646171344
100750439,0.42518371588649306
100767327,0.6403626850239607
103161316,0.17947638816896253
100750724,0.5555707916863349
100758510,0.29150810580479497
100751501,0.4423826225163926
100752074,0.3062626547771416
100751021,0.6053119882758728
100752969,0.06838092347709382
100753568,0.044521091318552454
100753267,0.5947096105707683
100753870,0.4619985873857286
100752366,0.743668277382471
100752970,0.45701528341175673
103160754,0.5659151534767958
100770668,0.6297432695954392
100754171,0.44815047177818623
100753569,0.7717524964562652
100770953,0.31973012930882955
100754457,0.12943924443236798
100771531,0.1278202973066618
100772392,0.2615817609099277
100771239,0.5896796284706908
100772686,0.5580101580902177
103163900,0.3279822061278368
100755322,0.6159434334687349
100773180,0.32667156505146305
100773751,0.38647767828148133
100756486,0.19906611881971378
100756783,0.40408057883413523
100755615,0.530228355759229
103160753,0.054820648030859565
100757070,0.5971098719569374
100757648,0.5632793168215801
100757933,0.4303636099662539
100774047,0.4442132586845324
100758227,0.6931523088493331
100758511,0.4236587367670665
100759088,0.42682077606488267
100750619,0.6058175178414925
103162392,0.23846453898535233
100760239,0.36489259678093083
100774338,0.6183371613361182
100760825,0.4495493881259283
100761406,0.384994805698024
100762271,0.15218047953250144
100762856,0.2965805282699064
100761694,0.5652851160079454
100752262,0.4949437912232821
100752075,0.464737208531264
100764304,0.6663453126266978
103161117,0.14468048945072373
100752559,0.4749642682950772
100764899,0.3502940061398456
100765186,0.21702012563225917
100764603,0.6120678653184769
100753759,0.31933603625928
100765476,0.5484282741815665
100753457,0.5135843713879065
100767126,0.6321654772227878
100768761,0.18401432824636474
100754925,0.18423186096025554
100755217,0.15161956620283543
100768292,0.5215747495060056
100768002,0.42282874065335885
103161344,0.20033073858460626
100755801,0.24896286836606923
100770101,0.3853405072103221
100769524,0.4240990369402791
100770583,0.3469461625896298
103159091,0.05101376540901787
100772021,0.45450366127264585
100755507,0.764910637873265
100771441,0.6716062567953445
100770871,0.5712624710894896
100772891,0.6308785900026374
100757261,0.5034503368363669
100757547,0.5000687990934306
100773656,0.6465793186950185
100773181,0.4198021861420373
100750331,0.65964605498178
100773946,0.5708304447540397
100759269,0.10053857338848661
100752777,0.3407804452291814
100750620,0.6009953955038191
100758986,0.593126834914603
100759557,0.508073070906046
100761510,0.2453873316356488
100761220,0.25201032623127023
100753080,0.2695934124336276
100762386,0.13559302251587424
100762088,0.3717583890610425
100760643,0.6505940098875357
100762678,0.5569357157686259
100689376,0.9216820859116733
100763722,0.48454168971440764
100764604,0.32340345446205754
100753676,0.6354189869902301
100753973,0.48441818908175677
100689460,0.30898788879472017
100764009,0.5169808393072888
100765665,0.7310430415116492
100754271,0.4732830738907205
100754557,0.4197259113072467
100765955,0.3078520754779807
100766833,0.525806863291363
100767904,0.012072960689102857
100766541,0.6335537098489018
100754845,0.2452497603013217
100755135,0.21401233574228432
100767415,0.45465074843090775
100768667,0.5609192869257335
100768192,0.44766639260480956
100768960,0.4723621990148507
100769526,0.4344189703784262
100756007,0.3002850057138467
100769810,0.6982946147546478
100756877,0.34926605803847083
103161373,0.07437611108053885
100757169,0.4012795462743659
100770955,0.4829320056656689
100757748,0.0656104847913378
100770670,0.8511914542495793
103164539,0.016338992237338174
100771533,0.4778417576708623
100772106,0.2562728755709105
100758613,0.5395430030869677
100771824,0.47268061012333923
100772689,0.1881475429324796
103158642,0.10839708239625384
100772395,0.5591559315107221
100758038,0.41800030438761876
100771241,0.41050580417805005
100774138,0.21729941516729667
100774919,0.48497305220536957
100750726,0.3770066254454426
100689417,0.5644067321759311
100759191,0.5413412844863351
100751023,0.726669240071799
100751608,0.4856215062430879
103159102,0.5330539508208709
100759767,0.4445651529789314
100760056,0.2726030170673895
100761221,0.5076288035293761
100771535,0.39647249955053204
100762387,0.3880099577746787
100760933,0.5339032420748203
100773845,0.005980197924299308
100764116,0.4394945457036125
100763827,0.20408536290869397
100763049,0.4331989984948645
100764712,0.39970483152784414
100765189,0.6200658130369433
103159776,0.2606618411614772
100764416,0.5889621514080616
100765768,0.4228722370097554
103159836,0.13188412427980067
100767223,0.4091316434407614
100765478,0.6264164205558099
100766644,0.4281947726491642
100766935,0.5383621285250393
100769239,0.3442276311572608
103160183,0.050921364636892376
100751978,0.18930443618031373
100769528,0.23671772512580017
100751692,0.4027059448490617
100769812,0.16448178645453376
100752265,0.6961478297487362
100768378,0.3658260593229693
100758228,0.5705522045735673
100753163,0.4680381983284372
100758801,0.5351924816714347
100759947,0.5172955838205939
100754846,0.2840591236963997
100755616,0.2773896011736789
100753762,0.22616091342549843
100756195,0.6813845957593015
100756784,0.5792829888470614
100756487,0.4323079907445465
100760534,0.12511011935188796
100757071,0.4324015708255922
100761407,0.41338175874704136
100761115,0.6333788591610541
103161022,0.11093523135297932
100761695,0.5199597472679225
100764714,0.7102060503066291
100762273,0.41961296546217586
100765590,0.5436652959462578
103161144,0.1676381850027296
100766172,0.596599481452677
100766464,0.4518936115645738
103161302,0.17007786275944123
100767331,0.481283564180263
100767620,0.4102048845276685
100766754,0.5751324814025075
100767906,0.3519224718663542
100764418,0.3049307550026919
103161398,0.40531792415158624
103161626,0.28189226668773926
103161583,0.009515905769930066
100750525,0.18774733226602164
100769336,0.2454565733689845
100769625,0.4065724051979422
100751693,0.029069523457552347
100768764,0.40152744916933975
100770957,0.08126811955081943
100752266,0.3984214710865654
100751979,0.29164939796384626
100771536,0.8288990668704219
100752564,0.3238861575470941
100771827,0.06790903662515367
100754059,0.35747556603600966
100773847,0.24939021301797387
103161936,0.47701888530388603
100772692,0.42287111844189645
100772979,0.42700863817793316
100754635,0.18278748851000193
100754351,0.3524510965395635
100757549,0.4871242958367946
100757828,0.6736602942857918
100758121,0.5352638738203828
103162290,0.03868280308610186
103162410,0.25369951697062304
100756099,0.424100921678335
100752971,0.2623480355144716
100760145,0.5351644966173582
100753269,0.5215352802933916
100761888,0.3027344527022859
100762175,0.7074338888372165
100762757,0.5946642007118822
100762471,0.626704982281544
100763344,0.31304621384748477
100763624,0.589564905873015
100764799,0.11462194203178751
100754172,0.48074197796560414
100763050,0.4742582285537468
100766061,0.42391774484105693
100765297,0.5476426472934472
103162781,0.09333177955070192
100766354,0.41389519413093556
100766645,0.4456745935943334
100754458,0.4927944871804104
100767224,0.5252827738895638
100767802,0.0513733412425974
100768092,0.5651880429351519
100768576,0.2872117744687866
100756488,0.5986109604945826
100768872,0.5244329167902215
100770299,0.28927038144371187
100769150,0.4454274870909626
100755324,0.49762223445901926
100767514,0.7411543115863184
