gene,expression,z_score
100760238,0.0018648460724190582,-0.1393413924676495
100760532,0.014582681848228939,-0.09949577865424006
100761405,8.141000627150933e-06,-0.14515854206449652
100761113,0.014223985301213164,-0.10061959282675668
100760824,0.3276869251125494,0.8814754322006547
100754742,0.0007065053076027886,-0.14297053185840872
100762470,7.15651961612894e-05,-0.14495983089647796
103163223,0.00014597564573389817,-0.14472669924659523
100761982,0.019226377428440446,-0.08494684878772264
100761693,0.17046532194095365,0.38889230771840927
100764797,4.353344198287462e-06,-0.14517040898100517
100755321,0.007662495112341062,-0.12117706885609499
100764203,0.07819016984567803,0.09978965379395775
100762756,0.04184538537092216,-0.014080368735130992
100765375,0.0020510237309195505,-0.13875808857757996
100765086,0.05365099219863498,0.02290718628462545
100767046,2.2544654479285325e-05,-0.14511341469856642
100766751,0.00020993047547084205,-0.14452632557515283
100766461,0.009319898875503347,-0.11598434019974069
100755907,9.200561476386862e-06,-0.14515522240750814
100768090,4.576162610328158e-06,-0.14516971087980673
100768666,6.366870787483858e-05,-0.14498457098813272
100768959,0.00012471492324202314,-0.1447933101505838
100769236,0.00010138711086017798,-0.14486639735029802
100768376,7.276149865587443e-06,-0.1451612516850687
100769523,7.816566685407022e-05,-0.14493915129258564
100770100,7.3716226160621855e-06,-0.14516095256417955
100765873,0.27894127788829953,0.7287528881592754
100766168,0.01424502407676607,-0.10055367729359792
100756782,9.917783814780916e-05,-0.1448733191118978
103160728,0.0002452399322409779,-0.14441569928596135
103160850,5.010726860299723e-05,-0.14502705965377566
100750439,0.01993199059534572,-0.08273612754192372
100767327,0.11925188416238366,0.22843805278429685
103161316,0.002452702568496567,-0.13749960874490624
100750724,0.05900954077217734,0.03969578623398818
100758510,0.006471665645598089,-0.12490799697043033
100759087,1.1853051237352415e-06,-0.14518033460543814
100758799,0.00016461464986932545,-0.14466830231698088
100751501,0.02300934603997106,-0.07309461944458193
100752074,0.007335545400362913,-0.12220141861100109
100751021,0.08916948748934048,0.13418840358723913
100752668,6.736796508339178e-06,-0.14516294150603828
100752969,0.0008712210970094186,-0.14245446907466439
103163068,0.00023907405676421687,-0.14443501728136557
100753568,0.0006833291049931733,-0.14304314405714466
100754170,9.174963171415255e-05,-0.14489659205315128
100753267,0.08166090204187024,0.11066363087442012
103163463,2.9307418230942397e-05,-0.14509222662242593
100753870,0.027098039349265298,-0.06028453937470977
100752366,0.28073200906880535,0.7343633382641418
100752970,0.025995603794367213,-0.06373852495440983
103160754,0.06430198568014912,0.05627728010206417
100752669,9.370074048226428e-05,-0.1448904791320653
100770668,0.10919977405401707,0.19694429044544967
100753871,2.5617902056424293e-06,-0.14517602200902152
100754171,0.02414345809274004,-0.06954138981712292
100753569,0.3542674731346307,0.9647536149124606
100770953,0.008221695937028858,-0.1194250647810753
100754457,0.0015607695204549106,-0.14029407947138658
100771531,0.0015376326624214572,-0.140366568401603
100771822,5.656744982604379e-06,-0.14516632536133817
100772103,1.2768673046881755e-06,-0.14518004773655835
100755036,1.75494327617163e-05,-0.14512906497735434
100772392,0.005012543240215624,-0.12947950024317645
100771239,0.07832273107451347,0.10020497473565873
100772686,0.060217055188089334,0.04347898912626564
103163900,0.008815567676453279,-0.11756443500090374
100755322,0.09739046014795666,0.15994512096433217
100755908,0.0003620027389027304,-0.1440498755889088
100773180,0.008718514330401451,-0.11786850797481617
100773462,0.0003088770193568325,-0.14421632111799887
100773751,0.014418373341983771,-0.10001056539952544
100756486,0.002915745983382822,-0.1360488706308402
100756783,0.01670834092185837,-0.09283598275501095
100755615,0.047807296335305324,0.004598595678656269
103160753,0.0007599073991293143,-0.14280322044211874
100757070,0.08330351376615582,0.11581001533519082
103163931,0.00026708218384781726,-0.14434726642225063
100757648,0.06291009277737714,0.051916410214204164
100757933,0.02081315250163866,-0.07997540333977463
100774047,0.023363448110170822,-0.0719851999970887
100758227,0.18471801630787119,0.43354671005193735
100774627,7.210731876799541e-06,-0.1451614566428904
100758511,0.019679692505371396,-0.0835265900416911
100774918,3.482433823453623e-05,-0.1450749418368871
100759088,0.020206400655630865,-0.08187638713629328
100759657,1.6430912556613124e-05,-0.1451325693569454
100750619,0.08954422975781497,0.13536248980539872
100759946,0.00039275993000434454,-0.1439535117751103
103162392,0.004108557586874253,-0.1323117323832089
100760239,0.012029802786528512,-0.1074940760845571
100760533,4.250638663685845e-06,-0.14517073076256773
100751208,0.00010896148588901509,-0.1448426664555454
100774338,0.09934340476035751,0.1660637938420489
100751502,2.1963448295967117e-05,-0.14511523564652756
100751789,9.900358777058738e-05,-0.1448738650470207
100760825,0.024426779739339304,-0.06865372896708692
100761406,0.014240277423941523,-0.10056854879364613
100761983,1.1003121687324042e-06,-0.14518060089260532
100762569,2.587146975437686e-06,-0.14517594256499702
100762271,0.0019207838940097637,-0.13916613648259377
100763147,4.2082196013050505e-06,-0.1451708636636059
100762856,0.00675683158579389,-0.1240145578565685
100751975,1.888554254042717e-05,-0.14512487887877645
100763721,4.333494961359459e-06,-0.1451704711696545
100761694,0.0639665172082975,0.05522624064758408
