log_prec_y,Gene ID
0.4852370404184827,100682525
0.2585381910762509,100682526
0.6323364273871587,100682527
0.9933409717433984,100682528
0.5416525356655947,100682529
0.1362215935298431,100682531
0.4803413022493514,100682532
0.598668637,100682533
0.4370470020449458,100682534
0.6425777186892714,100682536
0.3151580499897031,100682537
0.3106091179818341,100682538
0.3859835198887911,100682539
0.3473593026599904,100684971
0.9285229638118976,100689010
0.7329789642688087,100689011
0.2416571365557495,100689015
0.4899616644180779,100689016
0.5596018162756948,100689017
0.7350855693478623,100689019
0.7034902586506313,100689020
0.3923376424616432,100689021
0.4934198206365182,100689022
0.2633289067431032,100689023
0.460527321,100689025
0.7879747015767748,100689026
0.4836742279960314,100689028
0.2184854886933323,100689029
0.5901450814449355,100689030
0.7221781150671178,100689031
0.3915337908349585,100689032
0.3454077644346904,100689038
0.6445529875758783,100689039
0.8145400447706572,100689040
0.2926835425203731,100689044
0.8599635416129755,100689045
0.5025263249066295,100689046
0.4724780734468077,100689047
0.2302811173150742,100689048
0.2715049999309247,100689049
0.8752884777437709,100689051
0.7472756343977466,100689053
0.633065303,100689054
0.7772857536554134,100689057
0.6144916763927862,100689058
0.3507220074077531,100689059
0.6308511355982457,100689060
0.3905605573443103,100689061
0.3667866430609235,100689063
0.3253022116332955,100689062
0.8869332110858167,100689064
0.3702321985830784,100689065
0.9516329371927712,100689066
0.3941677114455222,100689067
0.5048450557581527,100689068
0.4915649683413072,100689069
0.7620383762754066,100689070
0.3355141424543558,100689071
0.6168524158194268,100689072
0.441710311,100689075
0.7839368253259279,100689077
0.4418302013068081,100689078
0.059471798,100689080
0.5108927493599743,100689082
0.4651088747238002,100689085
0.8059015114964961,100689089
0.6906278598418822,100689090
0.49334453,100689092
0.5487287554264421,100689094
0.5433004511948043,100689095
0.9559804517043832,100689096
0.5686870178715017,100689097
0.4830092356026629,100689100
0.6843527638726876,100689238
0.275076898,100689239
0.596491096,100689240
0.6190860417646922,107976996
0.1726030619713536,100689243
0.3614941899464557,100689245
0.692007069,100689253
0.7298876022499701,100689254
0.4650977155796221,100689255
0.6990463579641801,100689256
0.3623081965337409,100689268
0.379845561,100689273
0.3616649502966217,100689274
0.7953782888675558,100689276
0.6308979098446316,100689281
0.4973691638419255,100689285
0.5811149598865137,100689287
0.8442240737062474,100689292
0.6332907659104962,100689293
0.4397616666463564,100689477
0.2539104800721657,100689478
0.8687315585696384,100736552
0.4764338431508383,100736553
0.6958709250737662,100736551
